road_id,status,roadmst_id,roadmst_name,directional_tendency,road_name_type,road_class,road_type,one_way_dir,high_address,low_address,address_range,odd_side,from_roadint_id,to_roadint_id,truck_route,snow_removal,from_roadint_name,to_roadint_name,OBJECTID,land_use,transit_class,implementation_class,SHAPESTLength
167508,A,100800,BEAVER LAKE RD,EW,RD,,ROAD,,800,716,716 - 800,R,618632,625462,,3,HWY 97 N,STONE RIDGE DR,36002,,,,339.0821639
167522,A,116448,1ST AVE,EW,AVE,Strata,PRIVATE,0,775,675,675 - 775,R,625575,999991,,3,STONE RIDGE DR,EAST END OF ROAD,36003,,,,120.2027352
167534,A,116436,2ND AVE,EW,AVE,Strata,PRIVATE,0,825,776,776 - 825,R,999990,625563,,3,WEST END OF ROAD,STONE RIDGE DR,36004,,,,78.72038479
167546,A,116412,3RD AVE,EW,AVE,Strata,PRIVATE,0,825,776,776 - 825,R,625536,625548,,3,STONE RIDGE DR,STONE RIDGE DR,36005,,,,218.7089352
167559,A,116424,4TH AVE,EW,AVE,Strata,PRIVATE,0,825,776,776 - 825,R,999990,625551,,3,WEST END OF ROAD,STONE RIDGE DR,36006,,,,66.31961143
167561,A,116400,5TH AVE,EW,AVE,Strata,PRIVATE,0,825,776,776 - 825,R,999990,625524,,3,WEST END OF ROAD,STONE RIDGE DR,36007,,,,56.26865811
167573,A,116398,6TH AVE,EW,AVE,Strata,PRIVATE,0,775,675,675 - 775,R,625512,999991,,3,STONE RIDGE DR,EAST END OF ROAD,36008,,,,150.8163701
167585,A,116386,7TH AVE,EW,AVE,Strata,PRIVATE,0,850,776,776 - 850,R,999990,625500,,3,WEST END OF ROAD,STONE RIDGE DR,36009,,,,104.8817539
167609,A,116374,8TH AVE,EW,AVE,Strata,PRIVATE,0,775,760,760 - 775,R,625498,625587,,3,STONE RIDGE DR,PINE RD,36010,,,,31.08427755
167611,A,116374,8TH AVE,EW,AVE,Strata,PRIVATE,0,759,675,675 - 759,R,625587,999991,,3,PINE RD,EAST END OF ROAD,36011,,,,124.874913
167623,A,116362,10TH AVE,EW,AVE,Strata,PRIVATE,0,775,760,760 - 775,R,625486,625599,,3,9TH AVE,PINE RD,36012,,,,32.47152512
167635,A,116362,10TH AVE,EW,AVE,Strata,PRIVATE,0,759,675,675 - 759,R,625599,999991,,3,PINE RD,EAST END OF ROAD,36013,,,,127.1536007
167597,A,116451,PINE RD,NS,RD,Strata,PRIVATE,0,9450,9375,9375 - 9450,R,625599,625587,,3,10TH AVE,8TH AVE,36014,,,,72.03056814
167647,A,116350,11TH AVE,EW,AVE,Strata,PRIVATE,0,755,675,675 - 755,R,625474,999991,,3,STONE RIDGE DR,EAST END OF ROAD,36015,,,,175.0755435
167650,A,116463,9TH AVE,EW,AVE,Strata,PRIVATE,0,850,776,776 - 850,R,999990,625486,,3,WEST END OF ROAD,STONE RIDGE DR,36016,,,,97.13863733
167799,A,116475,TUPMAN CR,NS,CR,Local,ROAD,0,300,200,200 - 300,R,625613,626007,,3,HEMMERLING CT,HEMMERLING CT,36017,Core Area,,,155.6497297
